"图解1"
"时间 (sec)","线性位移1 (mm)"
0,299.88219676359
0.04,299.882150964457
0.08,299.882196574429
0.12,299.882076135673
0.16,299.882049941059
0.2,299.882129174256
0.24,299.882118140022
0.28,299.882238867389
0.32,299.882067526164
0.36,299.882051468152
0.4,299.881945286946
0.44,299.882264899187
0.48,299.882050694973
0.52,299.882013631403
0.56,299.882134413776
0.6,299.882176477901
0.64,299.882031496676
0.68,299.882131949144
0.72,299.882051484759
0.76,299.882065768248
0.8,299.882129000146
0.84,299.882200832078
0.88,299.882211177503
0.92,299.882078444538
0.96,299.882119251712
1,299.88197905543
1.04,299.86154565573
1.08,299.106700199492
1.12,296.215026729076
1.16,290.242766540403
1.2,280.96667380112
1.24,268.872703203667
1.28,255.017357174926
1.32,240.850484064114
1.36,227.943040039235
1.4,217.596444045328
1.44,210.489984133116
1.48,206.554987051045
1.52,205.079517250208
1.56,204.893338695163
1.6,204.893356028335
1.64,204.893342921788
1.68,204.893548686053
1.72,204.893505071461
1.76,204.893617966787
1.8,204.893626684239
1.84,204.967327711771
1.88,207.628244205746
1.92,217.221086994586
1.96,234.887205318279
2,257.25132314666
2.04,278.25339251525
2.08,292.757667242053
2.12,299.03501309919
2.16,299.882115440602
2.2,299.882153078463
2.24,299.882262956814
2.28,299.882052477494
2.32,299.882059118647
2.36,299.882186144883
2.4,299.882196763594
2.44,299.882150964493
2.48,299.882196574437
2.52,299.882076135685
2.56,299.882049941051
2.6,299.882129174254
2.64,299.882118139998
2.68,299.882238867386
2.72,299.882067526164
2.76,299.882051468164
2.8,299.881945286937
2.84,299.882264899229
2.88,299.882050694964
2.92,299.882013631406
2.96,299.882134413793
3,299.882176477908
3.04,299.882031496667
3.08,299.882131949147
3.12,299.882051484757
3.16,299.882065768239
3.2,299.882129000146
3.24,299.882200832087
3.28,299.882211177474
3.32,299.882078444529
3.36,299.882119251743
3.4,299.881979055399
3.44,299.861545655779
3.48,299.106700199492
3.52,296.215026729076
3.56,290.242766540403
3.6,280.966673801123
3.64,268.872703203671
3.68,255.017357174927
3.72,240.850484064115
3.76,227.943040039232
3.8,217.596444045328
3.84,210.489984133117
3.88,206.554987051046
3.92,205.079517250208
3.96,204.893338695163
4,204.893356028325
4.04,204.893342921781
4.08,204.893548686042
4.12,204.893505071438
4.16,204.893617966824
4.2,204.893626684239
4.24,204.967327711771
4.28,207.628244205734
4.32,217.2210869946
4.36,234.88720531828
4.4,257.25132314666
4.44,278.253392515247
4.48,292.757667242054
4.52,299.03501309919
4.56,299.882115440602
4.6,299.882153078462
4.64,299.882262956813
4.68,299.882052477483
4.72,299.88205911863
4.76,299.882186144883
4.8,299.882196763594
4.84,299.882150964493
4.88,299.882196574437
4.92,299.882076135685
4.96,299.882049941051
5,299.882129174255
