"图解3"
"时间 (sec)","加速度1 (mm/sec**2)"
0,-18.9910935231735
0.04,0.435182003076569
0.08,-10.323493525091
0.12,9.93971802612904
0.16,-15.4624633587772
0.2,-0.54217547780273
0.24,5.33488364899541
0.28,-8.13701869764507
0.32,-7.45556210845305
0.36,9.54466377243858
0.4,0.573025435525975
0.44,4.08473905061665
0.48,-9.19521911945677
0.52,8.73085772061197
0.56,8.12861260126354
0.6,-9.86295678379602
0.64,-6.88718882197949
0.68,-8.697084591871
0.72,9.04347787302942
0.76,-16.1922036148318
0.8,-2.16442771963718
0.84,10.0822405699115
0.88,-4.86075571329045
0.92,-3.12011118623432
0.96,1.52228068619009
1,-4.27673427479454
1.04,-372.762454006634
1.08,-1381.82058322114
1.12,-1975.65581705502
1.16,-2133.73001742695
1.2,-1805.99361974612
1.24,-1139.17639300637
1.28,-218.666131662155
1.32,798.298922611667
1.36,1655.79225418756
1.4,2094.43507002984
1.44,2028.5388891272
1.48,1587.41699656892
1.52,820.535411885428
1.56,-79.0312938955587
1.6,3.71238588168342
1.64,-4.93818642431107
1.68,-4.62138507057179
1.72,6.48002989214792
1.76,2.02440992894743
1.8,-3.06410406919788
1.84,1366.05860922354
1.88,4597.60764364853
1.92,5330.75287813926
1.96,3047.67414343562
2,-924.343443671356
2.04,-4245.51753264171
2.08,-5452.756126256
2.12,-3544.88098430801
2.16,375.911132875992
2.2,-34.0363224437272
2.24,15.3782990297055
2.28,-7.5692679176349
2.32,11.4784183363029
2.36,33.2462298145898
2.4,-14.4859852198242
2.44,-12.8298644878264
2.48,-20.3759899678875
2.52,20.5487574999706
2.56,-42.6884885425658
2.6,-12.6431580464491
2.64,17.6941306567393
2.68,-25.5792441763099
2.72,-10.0865763754721
2.76,17.623925258673
2.8,-3.15695408655944
2.84,1.86150739714476
2.88,-6.62269971504881
2.92,6.97243687906906
2.96,10.7800426305613
3,-21.5198277928057
3.04,-15.1654561338357
3.08,-19.1977147500056
3.12,24.1875750040135
3.16,-45.3719840900566
3.2,-15.9938676584911
3.24,24.2705193759575
3.28,-15.5594961203531
3.32,-4.24167433456752
3.36,0.45819736688017
3.4,-13.3980253949832
3.44,-535.309779184822
3.48,-1383.45577797209
3.52,-1953.17727270873
3.56,-2127.7174634818
3.6,-1799.15643520407
3.64,-1139.82543947912
3.68,-216.075255003433
3.72,783.783053035527
3.76,1637.6087374452
3.8,2093.5141752594
3.84,2001.86077649065
3.88,1597.33450728189
3.92,799.171302483287
3.96,-84.8875199279594
4,20.6697929598458
4.04,-16.4998472910554
4.08,-16.8850189625882
4.12,13.3879206524952
4.16,-7.33577097144409
4.2,-9.11729562595199
4.24,1949.04886039631
4.28,4537.81062012505
4.32,5317.76144766839
4.36,3047.67415203197
4.4,-924.343443585522
4.44,-4245.51753259054
4.48,-5452.75612636906
4.52,-3544.88098414348
4.56,375.911132854836
4.6,-34.0363224453139
4.64,15.378299706614
4.68,-7.56926792297969
4.72,11.4784152049824
4.76,33.246227143179
4.8,-14.4859858473921
4.84,-12.8298652441219
4.88,-20.3759926436479
4.92,20.5487577939605
4.96,-42.6884886716067
5,-12.6431579640957
