"图解2"
"时间 (sec)","速度2 (mm/sec)"
0,-0.0772752413451889
0.04,-0.00155048193305939
0.08,-0.0291211994869476
0.12,0.0140267937487657
0.16,-0.0406121142918784
0.2,-0.00831474614435921
0.24,-0.00442984116628802
0.28,-0.00274570133276035
0.32,-0.0281637501252843
0.36,0.0205084846752686
0.4,-0.00564469065120354
0.44,0.010711564364012
0.48,-0.0406645602961492
0.52,0.0181891818165306
0.56,0.0168725164255506
0.6,-0.0269345021257842
0.64,-0.0247032908118142
0.68,-0.0261254044428352
0.72,0.00629067457784975
0.76,-0.0352308821169806
0.8,-0.00980479583950976
0.84,0.0203488407572635
0.88,0.0062057362148582
0.92,-0.00956419146359026
0.96,0.00508699310697237
1,-0.0142884968666661
1.04,-2.78954045396856
1.08,-39.6347087906841
1.12,-107.863454742479
1.16,-191.272238557109
1.2,-270.838817092364
1.24,-330.393120300942
1.28,-357.701671846861
1.32,-345.609080555919
1.36,-295.608554088493
1.4,-219.648625738235
1.44,-136.096523915938
1.48,-63.0536172325235
1.52,-14.5348605481008
1.56,0.632390464569805
1.6,-0.0125990216195244
1.64,-0.020280711515186
1.68,-0.00132492123570927
1.72,0.0128120352303928
1.76,0.0359810249842458
1.8,0.0198364350685359
1.84,10.0900863012907
1.88,137.651953311756
1.92,345.811789172929
1.96,523.40049410093
2,568.179583275622
2.04,459.278673692618
2.08,257.268917362223
2.12,67.9425205888119
2.16,0.399102255290012
2.2,0.0317834943859826
2.24,0.0164155396700789
2.28,-0.0569799468630819
2.32,0.0316531297230135
2.36,0.0452619359570251
2.4,-0.0379537367649852
2.44,-0.0117644089046105
2.48,-0.0466063583515077
2.52,0.0317773554274228
2.56,-0.066055022038348
2.6,-0.00751819691892428
2.64,0.0057109979844373
2.68,-0.0173630843769171
2.72,-0.0409808910206153
2.76,0.0372949613540483
2.8,-0.00372156243962862
2.84,0.0189764695046573
2.88,-0.0564425803032257
2.92,0.0343527737976706
2.96,0.0320998393786612
3,-0.0434499600642418
3.04,-0.0362136481843661
3.08,-0.0404883023440053
3.12,0.0225869625199636
3.16,-0.0624446956594124
3.2,-0.012042495187391
3.24,0.0379387743689559
3.28,-0.00325809249480227
3.32,-0.0152207355089063
3.36,0.00788765619439032
3.4,-0.0211619741296216
3.44,-3.32362104413751
3.48,-40.4005654616745
3.52,-108.310076383576
3.56,-191.356373748684
3.6,-270.532202823366
3.64,-329.811865114097
3.68,-356.931557009634
3.72,-344.783969279971
3.76,-294.932361612577
3.8,-219.323996391776
3.84,-136.197520244768
3.88,-63.4486244763095
3.92,-15.1891138285652
3.96,-0.129058317109028
4,-0.00465101166067509
4.04,-0.0275530525582845
4.08,-0.0092148018293257
4.12,0.024211534377404
4.16,0.0379525778918342
4.2,0.012454106588697
4.24,12.0583199895631
4.28,139.990410882743
4.32,345.811789176953
4.36,523.400494108788
4.4,568.179583275839
4.44,459.278673692185
4.48,257.26891736229
4.52,67.9425205889178
4.56,0.399102255245533
4.6,0.0317834942252238
4.64,0.0164155425598209
4.68,-0.0569799498632489
4.72,0.031653125944279
4.76,0.0452619323340948
4.8,-0.0379537346929982
4.84,-0.0117644091677557
4.88,-0.0466063630943256
4.92,0.0317773531248913
4.96,-0.0660550219779093
5,-0.00751819669970155
