phi_deg,理论_x,理论_y,实际_x,实际_y,z
0.0,78.3912,86.9870,70.3500,78.0797,0
0.5,79.1473,86.2996,71.0364,77.4557,0
1.0,79.8974,85.6056,71.7096,76.8329,0
1.5,80.6414,84.9051,72.3774,76.2042,0
2.0,81.3792,84.1982,73.0396,75.5697,0
2.5,82.1109,83.4848,73.6963,74.9294,0
3.0,82.8363,82.7651,74.3474,74.2835,0
3.5,83.5554,82.0391,74.9928,73.6318,0
4.0,84.2681,81.3068,75.6325,72.9746,0
4.5,84.9744,80.5683,76.2664,72.3118,0
5.0,85.6743,79.8237,76.8945,71.6435,0
5.5,86.3676,79.0730,77.5168,70.9698,0
6.0,87.0544,78.3163,78.1332,70.2906,0
6.5,87.7345,77.5537,78.7436,69.6061,0
7.0,88.4079,76.7851,79.3480,68.9163,0
7.5,89.0746,76.0107,79.9464,68.2212,0
8.0,89.7345,75.2305,80.5387,67.5210,0
8.5,90.3876,74.4445,81.1248,66.8156,0
9.0,91.0338,73.6529,81.7048,66.1051,0
9.5,91.6731,72.8557,82.2786,65.3896,0
10.0,92.3054,72.0530,82.8461,64.6691,0
10.5,92.9306,71.2447,83.4072,63.9437,0
11.0,93.5488,70.4310,83.9621,63.2134,0
11.5,94.1599,69.6120,84.5105,62.4783,0
12.0,94.7637,68.7877,85.0525,61.7384,0
12.5,95.3604,67.9581,85.5880,60.9939,0
13.0,95.9498,67.1233,86.1170,60.2446,0
13.5,96.5319,66.2835,86.6395,59.4908,0
14.0,97.1067,65.4386,87.1553,58.7325,0
14.5,97.6740,64.5887,87.6646,57.9697,0
15.0,98.2339,63.7338,88.1671,57.2025,0
15.5,98.7864,62.8742,88.6629,56.4309,0
16.0,99.3313,62.0097,89.1520,55.6551,0
16.5,99.8686,61.1405,89.6343,54.8750,0
17.0,100.3984,60.2667,90.1097,54.0907,0
17.5,100.9205,59.3883,90.5783,53.3023,0
18.0,101.4349,58.5053,91.0400,52.5098,0
18.5,101.9416,57.6179,91.4948,51.7133,0
19.0,102.4405,56.7261,91.9426,50.9129,0
19.5,102.9316,55.8300,92.3834,50.1087,0
20.0,103.4149,54.9297,92.8171,49.3006,0
20.5,103.8903,54.0251,93.2438,48.4887,0
21.0,104.3578,53.1165,93.6634,47.6732,0
21.5,104.8174,52.2038,94.0758,46.8540,0
22.0,105.2689,51.2871,94.4811,46.0313,0
22.5,105.7125,50.3665,94.8792,45.2050,0
23.0,106.1480,49.4421,95.2701,44.3753,0
23.5,106.5754,48.5139,95.6537,43.5423,0
24.0,106.9947,47.5820,96.0300,42.7059,0
24.5,107.4058,46.6465,96.3991,41.8662,0
25.0,107.8088,45.7074,96.7607,41.0234,0
25.5,108.2036,44.7649,97.1151,40.1775,0
26.0,108.5901,43.8190,97.4620,39.3285,0
26.5,108.9684,42.8697,97.8015,38.4765,0
27.0,109.3383,41.9171,98.1335,37.6215,0
27.5,109.6999,40.9614,98.4581,36.7637,0
28.0,110.0532,40.0025,98.7751,35.9031,0
28.5,110.3981,39.0406,99.0847,35.0398,0
29.0,110.7346,38.0757,99.3867,34.1738,0
29.5,111.0626,37.1080,99.6811,33.3052,0
30.0,111.3822,36.1373,99.9680,32.4341,0
30.5,111.6933,35.1640,100.2472,31.5604,0
31.0,111.9960,34.1880,100.5188,30.6844,0
31.5,112.2900,33.2093,100.7827,29.8061,0
32.0,112.5756,32.2281,101.0390,28.9255,0
32.5,112.8525,31.2445,101.2876,28.0426,0
33.0,113.1209,30.2585,101.5284,27.1577,0
33.5,113.3806,29.2702,101.7616,26.2707,0
34.0,113.6317,28.2797,101.9869,25.3816,0
34.5,113.8742,27.2870,102.2045,24.4907,0
35.0,114.1080,26.2922,102.4144,23.5978,0
35.5,114.3331,25.2955,102.6164,22.7032,0
36.0,114.5495,24.2968,102.8106,21.8069,0
36.5,114.7571,23.2962,102.9970,20.9089,0
37.0,114.9560,22.2939,103.1755,20.0093,0
37.5,115.1462,21.2899,103.3462,19.1081,0
38.0,115.3276,20.2842,103.5090,18.2056,0
38.5,115.5002,19.2771,103.6640,17.3016,0
39.0,115.6641,18.2684,103.8110,16.3963,0
39.5,115.8191,17.2584,103.9501,15.4898,0
40.0,115.9653,16.2470,104.0813,14.5820,0
40.5,116.1026,15.2344,104.2046,13.6732,0
41.0,116.2312,14.2207,104.3200,12.7634,0
41.5,116.3508,13.2058,104.4274,11.8525,0
42.0,116.4616,12.1900,104.5268,10.9408,0
42.5,116.5636,11.1732,104.6183,10.0282,0
43.0,116.6567,10.1556,104.7019,9.1149,0
43.5,116.7408,9.1372,104.7774,8.2008,0
44.0,116.8161,8.1181,104.8450,7.2862,0
44.5,116.8825,7.0984,104.9046,6.3710,0
45.0,116.9400,6.0782,104.9562,5.4553,0
45.5,116.9886,5.0574,104.9998,4.5392,0
46.0,117.0283,4.0363,105.0354,3.6227,0
46.5,117.0590,3.0149,105.0630,2.7060,0
47.0,117.0809,1.9933,105.0826,1.7890,0
47.5,117.0938,0.9715,105.0942,0.8720,0
48.0,117.0979,-0.0503,105.0979,-0.0452,0
48.5,117.0930,-1.0722,105.0935,-0.9623,0
49.0,117.0791,-2.0940,105.0811,-1.8794,0
49.5,117.0564,-3.1156,105.0607,-2.7963,0
50.0,117.0248,-4.1370,105.0323,-3.7130,0
50.5,116.9842,-5.1580,104.9959,-4.6294,0
51.0,116.9347,-6.1787,104.9515,-5.5455,0
51.5,116.8764,-7.1989,104.8991,-6.4612,0
52.0,116.8091,-8.2186,104.8387,-7.3763,0
52.5,116.7329,-9.2376,104.7703,-8.2909,0
53.0,116.6479,-10.2559,104.6940,-9.2049,0
53.5,116.5539,-11.2734,104.6097,-10.1182,0
54.0,116.4511,-12.2901,104.5174,-11.0307,0
54.5,116.3394,-13.3059,104.4172,-11.9423,0
55.0,116.2189,-14.3206,104.3090,-12.8531,0
55.5,116.0895,-15.3343,104.1928,-13.7628,0
56.0,115.9513,-16.3467,104.0688,-14.6715,0
56.5,115.8042,-17.3580,103.9368,-15.5791,0
57.0,115.6483,-18.3679,103.7969,-16.4856,0
57.5,115.4836,-19.3764,103.6490,-17.3907,0
58.0,115.3101,-20.3834,103.4933,-18.2946,0
58.5,115.1279,-21.3889,103.3297,-19.1970,0
59.0,114.9368,-22.3927,103.1583,-20.0980,0
59.5,114.7370,-23.3949,102.9790,-20.9974,0
60.0,114.5285,-24.3953,102.7918,-21.8953,0
60.5,114.3113,-25.3938,102.5968,-22.7915,0
61.0,114.0853,-26.3903,102.3940,-23.6859,0
61.5,113.8507,-27.3849,102.1834,-24.5785,0
62.0,113.6074,-28.3774,101.9651,-25.4693,0
62.5,113.3554,-29.3677,101.7389,-26.3581,0
63.0,113.0948,-30.3558,101.5050,-27.2450,0
63.5,112.8256,-31.3416,101.2634,-28.1297,0
64.0,112.5478,-32.3249,101.0141,-29.0123,0
64.5,112.2614,-33.3059,100.7571,-29.8927,0
65.0,111.9665,-34.2842,100.4924,-30.7709,0
65.5,111.6631,-35.2600,100.2200,-31.6466,0
66.0,111.3511,-36.2331,99.9400,-32.5200,0
66.5,111.0307,-37.2034,99.6524,-33.3909,0
67.0,110.7018,-38.1709,99.3573,-34.2592,0
67.5,110.3645,-39.1355,99.0545,-35.1250,0
68.0,110.0188,-40.0971,98.7442,-35.9880,0
68.5,109.6647,-41.0557,98.4264,-36.8484,0
69.0,109.3022,-42.0111,98.1011,-37.7059,0
69.5,108.9315,-42.9633,97.7683,-38.5605,0
70.0,108.5524,-43.9123,97.4281,-39.4122,0
70.5,108.1650,-44.8579,97.0805,-40.2610,0
71.0,107.7695,-45.8001,96.7254,-41.1066,0
71.5,107.3657,-46.7388,96.3630,-41.9491,0
72.0,106.9537,-47.6740,95.9933,-42.7884,0
72.5,106.5336,-48.6055,95.6162,-43.6245,0
73.0,106.1054,-49.5333,95.2319,-44.4572,0
73.5,105.6691,-50.4574,94.8403,-45.2866,0
74.0,105.2248,-51.3776,94.4415,-46.1125,0
74.5,104.7724,-52.2939,94.0355,-46.9349,0
75.0,104.3121,-53.2062,93.6224,-47.7537,0
75.5,103.8438,-54.1144,93.2021,-48.5689,0
76.0,103.3676,-55.0186,92.7747,-49.3804,0
76.5,102.8836,-55.9185,92.3402,-50.1881,0
77.0,102.3917,-56.8142,91.8988,-50.9920,0
77.5,101.8920,-57.7056,91.4503,-51.7920,0
78.0,101.3845,-58.5925,90.9948,-52.5881,0
78.5,100.8694,-59.4750,90.5324,-53.3801,0
79.0,100.3465,-60.3530,90.0632,-54.1681,0
79.5,99.8160,-61.2264,89.5870,-54.9520,0
80.0,99.2779,-62.0951,89.1041,-55.7317,0
80.5,98.7323,-62.9591,88.6144,-56.5071,0
