phi_deg,理论_x,理论_y,实际_x,实际_y,z
0.0,0.0000,53.0000,-0.0087,43.0000,0
0.5,0.4625,52.9980,0.3752,42.9984,0
1.0,0.9250,52.9919,0.7505,42.9935,0
1.5,1.3874,52.9818,1.1256,42.9853,0
2.0,1.8497,52.9677,1.5007,42.9738,0
2.5,2.3118,52.9496,1.8756,42.9591,0
3.0,2.7738,52.9274,2.2504,42.9411,0
3.5,3.2356,52.9011,2.6251,42.9198,0
4.0,3.6971,52.8709,2.9995,42.8953,0
4.5,4.1583,52.8366,3.3737,42.8674,0
5.0,4.6193,52.7983,3.7477,42.8364,0
5.5,5.0798,52.7560,4.1214,42.8020,0
6.0,5.5400,52.7097,4.4947,42.7644,0
6.5,5.9998,52.6593,4.8677,42.7236,0
7.0,6.4591,52.6049,5.2404,42.6795,0
7.5,6.9179,52.5466,5.6126,42.6321,0
8.0,7.3762,52.4842,5.9844,42.5815,0
8.5,7.8339,52.4178,6.3558,42.5277,0
9.0,8.2910,52.3475,6.7267,42.4706,0
9.5,8.7475,52.2731,7.0970,42.4103,0
10.0,9.2034,52.1948,7.4669,42.3467,0
10.5,9.6585,52.1125,7.8361,42.2800,0
11.0,10.1129,52.0262,8.2048,42.2100,0
11.5,10.5665,51.9360,8.5728,42.1368,0
12.0,11.0193,51.8418,8.9402,42.0603,0
12.5,11.4713,51.7437,9.3069,41.9807,0
13.0,11.9224,51.6416,9.6729,41.8979,0
13.5,12.3726,51.5356,10.0382,41.8119,0
14.0,12.8219,51.4257,10.4026,41.7227,0
14.5,13.2701,51.3118,10.7663,41.6303,0
15.0,13.7174,51.1941,11.1292,41.5348,0
15.5,14.1636,51.0724,11.4913,41.4361,0
16.0,14.6088,50.9469,11.8524,41.3343,0
16.5,15.0528,50.8174,12.2127,41.2292,0
17.0,15.4957,50.6842,12.5720,41.1211,0
17.5,15.9374,50.5470,12.9303,41.0098,0
18.0,16.3779,50.4060,13.2877,40.8954,0
18.5,16.8171,50.2612,13.6441,40.7779,0
19.0,17.2551,50.1125,13.9994,40.6573,0
19.5,17.6918,49.9600,14.3537,40.5336,0
20.0,18.1271,49.8037,14.7069,40.4068,0
20.5,18.5610,49.6436,15.0589,40.2769,0
21.0,18.9935,49.4798,15.4098,40.1440,0
21.5,19.4246,49.3121,15.7596,40.0080,0
22.0,19.8541,49.1407,16.1081,39.8689,0
22.5,20.2822,48.9656,16.4554,39.7268,0
23.0,20.7087,48.7868,16.8014,39.5817,0
23.5,21.1337,48.6042,17.1462,39.4336,0
24.0,21.5570,48.4179,17.4897,39.2825,0
24.5,21.9787,48.2279,17.8318,39.1283,0
25.0,22.3988,48.0343,18.1726,38.9712,0
25.5,22.8171,47.8370,18.5120,38.8112,0
26.0,23.2337,47.6361,18.8500,38.6481,0
26.5,23.6485,47.4315,19.1865,38.4822,0
27.0,24.0615,47.2233,19.5216,38.3133,0
27.5,24.4727,47.0116,19.8552,38.1415,0
28.0,24.8820,46.7962,20.1873,37.9667,0
28.5,25.2894,46.5773,20.5178,37.7891,0
29.0,25.6949,46.3548,20.8468,37.6086,0
29.5,26.0984,46.1289,21.1742,37.4253,0
30.0,26.5000,45.8993,21.5000,37.2391,0
30.5,26.8995,45.6663,21.8241,37.0501,0
31.0,27.2970,45.4299,22.1466,36.8582,0
31.5,27.6924,45.1899,22.4674,36.6635,0
32.0,28.0857,44.9465,22.7865,36.4661,0
32.5,28.4769,44.6997,23.1039,36.2658,0
33.0,28.8659,44.4495,23.4195,36.0628,0
33.5,29.2527,44.1959,23.7333,35.8571,0
34.0,29.6372,43.9390,24.0453,35.6486,0
34.5,30.0195,43.6787,24.3555,35.4374,0
35.0,30.3996,43.4151,24.6638,35.2235,0
35.5,30.7773,43.1481,24.9702,35.0070,0
36.0,31.1526,42.8779,25.2748,34.7877,0
36.5,31.5256,42.6044,25.5774,34.5658,0
37.0,31.8962,42.3277,25.8780,34.3413,0
37.5,32.2644,42.0477,26.1767,34.1142,0
38.0,32.6301,41.7646,26.4734,33.8845,0
38.5,32.9933,41.4782,26.7681,33.6522,0
39.0,33.3540,41.1887,27.0608,33.4173,0
39.5,33.7121,40.8961,27.3514,33.1799,0
40.0,34.0677,40.6004,27.6399,32.9399,0
40.5,34.4207,40.3015,27.9263,32.6975,0
41.0,34.7711,39.9996,28.2105,32.4525,0
41.5,35.1189,39.6947,28.4927,32.2051,0
42.0,35.4639,39.3867,28.7726,31.9552,0
42.5,35.8063,39.0757,29.0504,31.7029,0
43.0,36.1459,38.7617,29.3259,31.4482,0
43.5,36.4828,38.4448,29.5992,31.1911,0
44.0,36.8169,38.1250,29.8703,30.9316,0
44.5,37.1482,37.8023,30.1391,30.6698,0
45.0,37.4767,37.4767,30.4056,30.4056,0
45.5,37.8023,37.1482,30.6698,30.1391,0
46.0,38.1250,36.8169,30.9316,29.8703,0
46.5,38.4448,36.4828,31.1911,29.5992,0
47.0,38.7617,36.1459,31.4482,29.3259,0
47.5,39.0757,35.8063,31.7029,29.0504,0
48.0,39.3867,35.4639,31.9552,28.7726,0
48.5,39.6947,35.1189,32.2051,28.4927,0
49.0,39.9996,34.7711,32.4525,28.2105,0
49.5,40.3015,34.4207,32.6975,27.9263,0
50.0,40.6004,34.0677,32.9399,27.6399,0
50.5,40.8961,33.7121,33.1799,27.3514,0
51.0,41.1887,33.3540,33.4173,27.0608,0
51.5,41.4782,32.9933,33.6522,26.7681,0
52.0,41.7646,32.6301,33.8845,26.4734,0
52.5,42.0477,32.2644,34.1142,26.1767,0
53.0,42.3277,31.8962,34.3413,25.8780,0
53.5,42.6044,31.5256,34.5658,25.5774,0
54.0,42.8779,31.1526,34.7877,25.2748,0
54.5,43.1481,30.7773,35.0070,24.9702,0
55.0,43.4151,30.3996,35.2235,24.6638,0
55.5,43.6787,30.0195,35.4374,24.3555,0
56.0,43.9390,29.6372,35.6486,24.0453,0
56.5,44.1959,29.2527,35.8571,23.7333,0
57.0,44.4495,28.8659,36.0628,23.4195,0
57.5,44.6997,28.4769,36.2658,23.1039,0
58.0,44.9465,28.0857,36.4661,22.7865,0
58.5,45.1899,27.6924,36.6635,22.4674,0
59.0,45.4299,27.2970,36.8582,22.1466,0
59.5,45.6663,26.8995,37.0501,21.8241,0
60.0,45.8993,26.5000,37.2391,21.5000,0
60.5,46.1289,26.0984,37.4253,21.1742,0
61.0,46.3548,25.6949,37.6086,20.8468,0
61.5,46.5773,25.2894,37.7891,20.5178,0
62.0,46.7962,24.8820,37.9667,20.1873,0
62.5,47.0116,24.4727,38.1415,19.8552,0
63.0,47.2233,24.0615,38.3133,19.5216,0
63.5,47.4315,23.6485,38.4822,19.1865,0
64.0,47.6361,23.2337,38.6481,18.8500,0
64.5,47.8370,22.8171,38.8112,18.5120,0
65.0,48.0343,22.3988,38.9712,18.1726,0
65.5,48.2279,21.9787,39.1283,17.8318,0
66.0,48.4179,21.5570,39.2825,17.4897,0
66.5,48.6042,21.1337,39.4336,17.1462,0
67.0,48.7868,20.7087,39.5817,16.8014,0
67.5,48.9656,20.2822,39.7268,16.4554,0
68.0,49.1407,19.8541,39.8689,16.1081,0
68.5,49.3121,19.4246,40.0080,15.7596,0
69.0,49.4798,18.9935,40.1440,15.4098,0
69.5,49.6436,18.5610,40.2769,15.0589,0
70.0,49.8037,18.1271,40.4068,14.7069,0
70.5,49.9600,17.6918,40.5336,14.3537,0
71.0,50.1125,17.2551,40.6573,13.9994,0
71.5,50.2612,16.8171,40.7779,13.6441,0
72.0,50.4060,16.3779,40.8954,13.2877,0
72.5,50.5470,15.9374,41.0098,12.9303,0
73.0,50.6842,15.4957,41.1211,12.5720,0
73.5,50.8174,15.0528,41.2292,12.2127,0
74.0,50.9469,14.6088,41.3343,11.8524,0
74.5,51.0724,14.1636,41.4361,11.4913,0
75.0,51.1941,13.7174,41.5348,11.1292,0
75.5,51.3118,13.2701,41.6303,10.7663,0
76.0,51.4257,12.8219,41.7227,10.4026,0
76.5,51.5356,12.3726,41.8119,10.0382,0
77.0,51.6416,11.9224,41.8979,9.6729,0
77.5,51.7437,11.4713,41.9807,9.3069,0
78.0,51.8418,11.0193,42.0603,8.9402,0
