phi_deg,理论_x,理论_y,实际_x,实际_y,z
0.0,129.1409,80.1906,120.6409,74.9228,0
0.5,129.8357,79.0606,121.2946,73.8597,0
1.0,130.5207,77.9246,121.9345,72.7984,0
1.5,131.1957,76.7826,122.5652,71.7315,0
2.0,131.8608,75.6348,123.1865,70.6592,0
2.5,132.5158,74.4812,123.7984,69.5816,0
3.0,133.1607,73.3220,124.4009,68.4986,0
3.5,133.7955,72.1572,124.9939,67.4104,0
4.0,134.4201,70.9868,125.5774,66.3170,0
4.5,135.0344,69.8111,126.1513,65.2187,0
5.0,135.6385,68.6301,126.7157,64.1153,0
5.5,136.2322,67.4438,127.2704,63.0071,0
6.0,136.8156,66.2524,127.8153,61.8941,0
6.5,137.3886,65.0560,128.3506,60.7763,0
7.0,137.9510,63.8545,128.8761,59.6539,0
7.5,138.5030,62.6483,129.3917,58.5270,0
8.0,139.0444,61.4372,129.8975,57.3957,0
8.5,139.5753,60.2215,130.3935,56.2599,0
9.0,140.0955,59.0012,130.8795,55.1199,0
9.5,140.6050,57.7764,131.3555,53.9757,0
10.0,141.1039,56.5472,131.8215,52.8273,0
10.5,141.5920,55.3137,132.2775,51.6750,0
11.0,142.0693,54.0760,132.7234,50.5187,0
11.5,142.5357,52.8342,133.1592,49.3586,0
12.0,142.9914,51.5883,133.5848,48.1947,0
12.5,143.4361,50.3386,134.0003,47.0271,0
13.0,143.8699,49.0849,134.4056,45.8559,0
13.5,144.2928,47.8276,134.8007,44.6813,0
14.0,144.7047,46.5666,135.1854,43.5033,0
14.5,145.1055,45.3020,135.5599,42.3219,0
15.0,145.4953,44.0340,135.9241,41.1373,0
15.5,145.8741,42.7627,136.2779,39.9496,0
16.0,146.2417,41.4881,136.6213,38.7588,0
16.5,146.5982,40.2103,136.9544,37.5651,0
17.0,146.9435,38.9295,137.2770,36.3686,0
17.5,147.2776,37.6457,137.5891,35.1692,0
18.0,147.6005,36.3591,137.8908,33.9672,0
18.5,147.9122,35.0696,138.1819,32.7626,0
19.0,148.2126,33.7775,138.4626,31.5555,0
19.5,148.5017,32.4829,138.7327,30.3460,0
20.0,148.7795,31.1857,138.9922,29.1342,0
20.5,149.0460,29.8862,139.2412,27.9202,0
21.0,149.3011,28.5844,139.4795,26.7040,0
21.5,149.5449,27.2804,139.7072,25.4858,0
22.0,149.7772,25.9744,139.9243,24.2657,0
22.5,149.9982,24.6664,140.1307,23.0437,0
